date,high,low,open,close,volume,adjclose,formatted_date
1520260200,1101.1800537109375,1072.27001953125,1078.1300048828125,1094.760009765625,1432400,1094.760009765625,2018-03-05
1520346600,1105.6300048828125,1094.5,1102.0999755859375,1100.9000244140625,1169100,1100.9000244140625,2018-03-06
1520433000,1116.199951171875,1089.9100341796875,1092.8199462890625,1115.0400390625,1537400,1115.0400390625,2018-03-07
1520519400,1131.43994140625,1117.199951171875,1117.199951171875,1129.3800048828125,1693100,1129.3800048828125,2018-03-08
1520605800,1161.0,1134.2900390625,1139.5,1160.8399658203125,2133100,1160.8399658203125,2018-03-09
1520861400,1178.1600341796875,1159.199951171875,1165.050048828125,1165.9300537109375,2215300,1165.9300537109375,2018-03-12
1520947800,1178.0,1134.5699462890625,1171.8299560546875,1139.9100341796875,2157000,1139.9100341796875,2018-03-13
1521034200,1159.760009765625,1142.3499755859375,1145.800048828125,1148.8900146484375,2093500,1148.8900146484375,2018-03-14
1521120600,1162.5,1135.6600341796875,1149.5699462890625,1150.6099853515625,1669100,1150.6099853515625,2018-03-15
1521207000,1156.81005859375,1131.3599853515625,1155.3499755859375,1134.4200439453125,2932800,1134.4200439453125,2018-03-16
1521466200,1119.3699951171875,1088.9200439453125,1117.760009765625,1100.0699462890625,3182800,1100.0699462890625,2018-03-19
1521552600,1105.550048828125,1082.4200439453125,1098.4000244140625,1095.800048828125,2729900,1095.800048828125,2018-03-20
1521639000,1108.699951171875,1087.2099609375,1092.5699462890625,1094.0,2244900,1094.0,2018-03-21
1521725400,1083.9200439453125,1049.6400146484375,1080.010009765625,1053.1500244140625,3465600,1053.1500244140625,2018-03-22
1521811800,1066.780029296875,1024.8699951171875,1051.3699951171875,1026.550048828125,2494000,1026.550048828125,2018-03-23
1522071000,1059.27001953125,1010.5800170898438,1050.5999755859375,1054.0899658203125,3299200,1054.0899658203125,2018-03-26
1522157400,1064.5400390625,997.6199951171875,1063.9000244140625,1006.9400024414062,3040800,1006.9400024414062,2018-03-27
1522243800,1024.989990234375,984.0,1001.9099731445312,1005.1799926757812,3884900,1005.1799926757812,2018-03-28
1522330200,1048.050048828125,1004.0399780273438,1011.2100219726562,1037.1400146484375,3466900,1037.1400146484375,2018-03-29
1522675800,1039.530029296875,994.25,1027.6199951171875,1012.6300048828125,3253400,1012.6300048828125,2018-04-02
1522762200,1025.0,997.25,1016.1500244140625,1018.6799926757812,2566100,1018.6799926757812,2018-04-03
1522848600,1032.739990234375,996.510009765625,998.22998046875,1029.7099609375,2536200,1029.7099609375,2018-04-04
1522935000,1046.7099609375,1024.0,1046.3900146484375,1032.6400146484375,1791800,1032.6400146484375,2018-04-05
1523021400,1036.0,1006.25,1023.0999755859375,1009.9500122070312,2006700,1009.9500122070312,2018-04-06
1523280600,1044.5899658203125,1019.2000122070312,1020.0399780273438,1020.0900268554688,1661000,1020.0900268554688,2018-04-09
1523367000,1041.2099609375,1015.4099731445312,1030.260009765625,1036.5,1831000,1036.5,2018-04-10
1523453400,1035.8699951171875,1019.2000122070312,1032.0,1025.06005859375,1703000,1025.06005859375,2018-04-11
1523539800,1044.6500244140625,1026.050048828125,1031.469970703125,1037.2900390625,1644800,1037.2900390625,2018-04-12
1523626200,1052.97998046875,1030.1500244140625,1046.8900146484375,1036.0400390625,1270500,1036.0400390625,2018-04-13
