timestamp,open,high,low,close,volume
2019-03-08 15:23:00,168.5303,168.6025,168.5000,168.5700,22994
2019-03-08 15:22:00,168.7100,168.7250,168.5100,168.5400,19820
2019-03-08 15:21:00,168.6058,168.7100,168.5815,168.6900,15949
2019-03-08 15:20:00,168.6731,168.7000,168.6000,168.6020,22217
2019-03-08 15:19:00,168.6500,168.6800,168.6300,168.6800,25437
2019-03-08 15:18:00,168.6700,168.6700,168.6700,168.6700,19476
2019-03-08 15:17:00,168.7700,168.8125,168.7100,168.7700,16589
2019-03-08 15:16:00,168.8899,168.9100,168.7800,168.7900,12035
2019-03-08 15:15:00,168.7800,168.8800,168.7610,168.8800,21510
2019-03-08 15:14:00,168.6300,168.7800,168.6153,168.7600,37611
2019-03-08 15:13:00,168.7100,168.7200,168.6300,168.6700,25835
2019-03-08 15:12:00,168.7200,168.8200,168.6800,168.7100,25046
2019-03-08 15:11:00,168.9250,168.9400,168.6871,168.7200,44909
2019-03-08 15:10:00,169.0000,169.0400,168.8400,168.9250,51343
2019-03-08 15:09:00,168.8200,168.9800,168.7900,168.9750,0
2019-03-08 15:08:00,168.8300,168.8400,168.7100,168.7510,48215
2019-03-08 15:07:00,168.9100,168.9400,168.8100,168.8100,22905
2019-03-08 15:06:00,168.8900,168.9800,168.8900,168.9100,17578
2019-03-08 15:05:00,168.9000,168.9700,168.8900,168.8900,21780
2019-03-08 15:04:00,168.8500,168.9000,168.8100,168.8700,16904
2019-03-08 15:03:00,168.9300,168.9300,168.8400,168.8400,24689
2019-03-08 15:02:00,168.9200,168.9400,168.9050,168.9130,12267
2019-03-08 15:01:00,168.9100,168.9200,168.8600,168.9000,13314
2019-03-08 15:00:00,168.9103,168.9150,168.8550,168.9100,22702
2019-03-08 14:59:00,168.9600,168.9700,168.9144,168.9300,20719
2019-03-08 14:58:00,168.9100,168.9700,168.9100,168.9450,22302
2019-03-08 14:57:00,168.9300,168.9700,168.9300,168.9300,33564
2019-03-08 14:56:00,169.0350,169.0350,168.9100,168.9300,22954
2019-03-08 14:55:00,169.0600,169.0900,168.9893,169.0150,85613
2019-03-08 14:54:00,168.9500,169.1800,168.9400,169.1200,38021
2019-03-08 14:53:00,168.9400,169.0000,168.9300,168.9700,41857
2019-03-08 14:52:00,168.8600,168.9100,168.8400,168.9100,19822
2019-03-08 14:51:00,168.7900,168.8800,168.7900,168.8600,25846
2019-03-08 14:50:00,168.6200,168.7300,168.6200,168.7300,11883
2019-03-08 14:49:00,168.7700,168.7700,168.6300,168.6300,18415
2019-03-08 14:48:00,168.7000,168.8200,168.7000,168.8100,25615
2019-03-08 14:47:00,168.6900,168.7200,168.6900,168.6900,14870
2019-03-08 14:46:00,168.7300,168.7377,168.6400,168.7200,15004
2019-03-08 14:45:00,168.7400,168.8000,168.7300,168.7424,20009
2019-03-08 14:44:00,168.7000,168.7500,168.6900,168.7400,12208
2019-03-08 14:43:00,168.5700,168.7000,168.5700,168.7000,22398
2019-03-08 14:42:00,168.5550,168.6200,168.5550,168.5929,9330
2019-03-08 14:41:00,168.5405,168.6000,168.5300,168.5300,8783
2019-03-08 14:40:00,168.5948,168.5948,168.5100,168.5350,11452
2019-03-08 14:39:00,168.5900,168.5900,168.5400,168.5400,6418
2019-03-08 14:38:00,168.5800,168.6088,168.5500,168.5900,11143
2019-03-08 14:37:00,168.5800,168.6101,168.5409,168.5700,11378
2019-03-08 14:36:00,168.5650,168.5800,168.5300,168.5800,10534
2019-03-08 14:35:00,168.5600,168.5600,168.5400,168.5600,10698
2019-03-08 14:34:00,168.6036,168.6036,168.5700,168.5700,10273
2019-03-08 14:33:00,168.6300,168.6700,168.5900,168.5900,12671
2019-03-08 14:32:00,168.5400,168.6700,168.5400,168.6500,16793
2019-03-08 14:31:00,168.4500,168.5900,168.4500,168.5500,12751
2019-03-08 14:30:00,168.5300,168.5300,168.4330,168.4400,11890
2019-03-08 14:29:00,168.5500,168.6000,168.4900,168.4900,9811
2019-03-08 14:28:00,168.5000,168.5800,168.5000,168.5200,11931
2019-03-08 14:27:00,168.5100,168.5300,168.5000,168.5000,18887
2019-03-08 14:26:00,168.5400,168.5700,168.5000,168.5000,12730
2019-03-08 14:25:00,168.4200,168.5900,168.4100,168.5600,30537
2019-03-08 14:24:00,168.4300,168.4700,168.4200,168.4300,16672
2019-03-08 14:23:00,168.4800,168.4800,168.4000,168.4250,14189
2019-03-08 14:22:00,168.3499,168.4700,168.3000,168.4700,19053
2019-03-08 14:21:00,168.2900,168.3500,168.2900,168.3400,9083
2019-03-08 14:20:00,168.3600,168.3600,168.2900,168.3200,9808
2019-03-08 14:19:00,168.2900,168.3500,168.2900,168.3500,8504
2019-03-08 14:18:00,168.2800,168.3075,168.2245,168.2800,12477
2019-03-08 14:17:00,168.3500,168.3500,168.2600,168.3100,5876
2019-03-08 14:16:00,168.2000,168.3400,168.2000,168.3200,8623
2019-03-08 14:15:00,168.1300,168.2100,168.1000,168.1800,13839
2019-03-08 14:14:00,168.1700,168.1700,168.1300,168.1300,10019
2019-03-08 14:13:00,168.1800,168.1900,168.1300,168.1900,12589
2019-03-08 14:12:00,168.3100,168.3150,168.2000,168.2000,16153
2019-03-08 14:11:00,168.2600,168.3900,168.2600,168.3300,28150
2019-03-08 14:10:00,168.1500,168.2350,168.1300,168.2350,46335
2019-03-08 14:09:00,168.0600,168.1400,168.0600,168.1400,11813
2019-03-08 14:08:00,168.0400,168.0900,168.0400,168.0500,7888
2019-03-08 14:07:00,168.0000,168.0654,168.0000,168.0100,13247
2019-03-08 14:06:00,167.9800,168.0400,167.9800,168.0300,15420
2019-03-08 14:05:00,167.9800,167.9900,167.9600,167.9900,14031
2019-03-08 14:04:00,167.9200,167.9500,167.9050,167.9500,19549
2019-03-08 14:03:00,167.9700,167.9700,167.9200,167.9350,9991
2019-03-08 14:02:00,167.9500,167.9800,167.9100,167.9500,22943
2019-03-08 14:01:00,168.0950,168.0950,168.0100,168.0100,5506
2019-03-08 14:00:00,168.0000,168.0755,168.0000,168.0755,11487
2019-03-08 13:59:00,168.0050,168.0200,167.9900,168.0200,12187
2019-03-08 13:58:00,168.0400,168.0400,168.0100,168.0100,3077
2019-03-08 13:57:00,168.0300,168.0900,168.0000,168.0900,8677
2019-03-08 13:56:00,168.0050,168.0400,168.0000,168.0400,7378
2019-03-08 13:55:00,168.0100,168.0350,168.0000,168.0000,10042
2019-03-08 13:54:00,168.0100,168.0800,168.0100,168.0200,10109
2019-03-08 13:53:00,168.1100,168.1200,168.0100,168.0400,16991
2019-03-08 13:52:00,168.0600,168.1150,168.0600,168.0915,8468
2019-03-08 13:51:00,168.1400,168.1625,168.1000,168.1000,12239
2019-03-08 13:50:00,168.0500,168.1100,168.0100,168.0900,10332
2019-03-08 13:49:00,168.1000,168.1000,167.9900,168.0300,6640
2019-03-08 13:48:00,168.1400,168.1900,168.1400,168.1400,45242
2019-03-08 13:47:00,168.0000,168.1500,168.0000,168.1100,15059
2019-03-08 13:46:00,168.0000,168.0101,167.9600,168.0101,11396
2019-03-08 13:45:00,168.0200,168.0599,167.9900,168.0100,9725
2019-03-08 13:44:00,168.0100,168.0800,168.0100,168.0300,17468
