,rule1 count,rule1 motions,rule2 count,rule2 motions,rule3 count,rule3 motions
301,4720,158909,1362,43978,4694,16839
302,1744,57776,1316,43497,12561,68348
303,1827,60613,339,11446,111,231
304,11580,386955,2042,68744,5318,20974
305,247,8345,10616,353594,1204,2578
306,602,20105,16938,565057,21839,164625
307,23751,800856,12638,425565,1507,3245
308,1478,49270,2048,68164,2678,6290
309,224,7576,19461,643437,1186,2637
310,1972,66231,1131,37087,893,1982
311,1422,47601,12085,399653,3953,13776
312,32131,1077928,12142,409100,6848,30443
313,2391,80758,6861,229391,4796,17475
314,4421,147579,9748,325610,1794,3810
315,10638,351273,578,19010,1122,2490
316,13445,448417,2499,83435,10381,56214
317,5997,201163,4008,132716,3180,8994
318,10576,354202,502,16245,10827,65247
319,5898,194608,5751,190035,7994,42089
320,1850,61887,1234,41410,1088,2352
321,17272,581240,14351,480126,1672,3524
322,2026,67927,10605,354933,989,2231
323,99,3430,91,3041,67,141
324,16853,561845,12220,405987,1721,3700
325,209,7089,568,18529,1273,2668
326,6650,226225,4165,139683,13886,87342
327,413,13793,2343,76876,2762,6998
328,5987,200505,30161,1005807,3026,8315
329,2183,71973,31601,1040264,4473,16481
330,5113,168267,11141,371759,6103,27718
331,4345,144456,4560,151317,1256,2811
332,1509,50486,153,5348,206,438
333,957,30932,9007,300882,17181,114369
334,7950,266697,5656,187580,10078,61783
335,309,10347,355,12170,18857,120016
336,625,20473,417,13515,164,346
337,1820,60554,787,26336,10379,52203
338,137,4139,26685,890118,1309,2903
339,9634,326850,7159,239371,1891,4079
340,13451,451832,5147,172960,17266,113960
341,5261,175087,6162,207283,8541,46481
342,5014,166536,7780,259214,20626,133644
343,9584,314099,6930,230099,14490,84606
344,18029,596433,17782,589835,466,1023
345,1934,64256,651,21655,1133,2500
346,6498,219289,12438,419513,1484,3162
347,3259,108675,2635,88145,4818,18127
348,2223,74096,393,13034,315,696
349,1413,47115,19522,655022,1212,2674
350,10384,347739,957,31805,1185,2638
351,1853,61399,1075,35293,656,1487
352,7861,263004,3686,122371,2672,6452
353,17935,593946,17468,576190,1431,3199
354,11604,387337,7267,243312,3741,11980
355,1881,63349,11182,368758,5410,21904
356,873,29064,81,2558,246,548
357,25980,858273,12357,411176,4374,14758
358,24117,811882,5013,169230,3166,9022
359,5877,197109,13439,450020,2178,4766
360,430,14471,10211,339891,808,1806
361,1712,55981,10661,351958,781,1796
362,16785,550947,4362,142721,4215,15357
363,716,24326,97,3510,206,437
364,4569,152150,4221,139704,4152,15002
365,22,839,1176,38590,796,1793
366,1540,50436,10295,345517,1147,2424
367,7118,239287,9904,330664,3933,14188
368,297,10104,481,16226,1,0
369,11169,372043,22942,755062,4973,17568
370,919,30421,873,28965,20204,132881
371,6350,212040,1928,63609,1685,3596
372,1367,45977,1598,52732,1491,3258
373,14519,479790,4248,142520,4382,15331
374,3366,112230,16382,543236,3845,13205
375,1266,41102,1009,33746,771,1706
376,18385,614891,318,10756,219,436
377,2863,96128,4030,137266,19001,138079
378,4638,157516,6292,208101,4678,16558
379,1919,62507,18944,624351,482,1144
380,4579,152499,6466,215322,4310,14819
381,10053,330196,13375,439807,6107,28501
382,1293,42645,108,3617,486,1153
383,25593,855647,12009,400078,9218,48191
384,4657,155298,1472,49772,75520,652172
385,2627,87530,8366,281601,3567,11998
386,6529,219559,15298,505725,4325,15582
387,10739,354513,10375,346294,29119,236268
388,2314,77804,1733,58389,9359,49117
389,26334,884200,4123,135793,12972,74110
390,4384,145846,1362,44884,1390,3019
391,25140,833819,6055,203131,1978,4151
392,2099,69755,136,4362,18378,111942
393,875,29916,55,1805,457,952
394,1163,37871,459,15414,191,382
395,28,961,120,4125,379,808
396,9475,319807,4572,152727,17754,111408
397,37569,1256758,19496,652427,28501,197005
398,461,15436,1239,41883,1051,2178
399,155,5190,161,5370,6,9
400,4362,146076,20884,691608,9178,50973
401,5047,168724,9016,298231,2009,4411
402,1944,64734,461,15221,40,76
403,10728,352346,19737,652753,10694,59795
404,852,28471,1479,49169,1687,3565
405,1455,49366,4292,145089,4178,13945
406,14458,479639,6789,225603,1621,3438
407,18358,604298,15377,508505,15332,92050
408,29478,986923,658,21276,926,2040
409,1192,39083,1697,57250,6748,29935
410,8927,296652,1540,49828,6759,30360
411,5405,178924,34080,1126674,8306,42022
412,1413,47732,11900,400571,1438,3085
413,2602,86629,2794,93515,7993,42717
414,2143,71918,12619,413600,1811,3887
415,1008,34520,131,4223,8,12
416,10655,352168,10195,337437,1079,2244
417,845,27883,25,799,13,22
418,11100,368439,1085,34849,1028,2278
419,936,31109,424,14573,430,932
420,912,30664,1971,65721,1847,3938
421,10556,354281,915,30122,1133,2560
422,860,28863,18650,626692,18579,121537
423,1183,40707,566,19228,20369,139067
424,1561,52136,11183,374060,877,1946
425,1121,37478,1875,61452,12298,64177
426,4847,161873,9936,333344,9550,56724
427,8795,293976,3884,131077,18608,103845
428,469,15224,1204,40164,1067,2291
429,6769,222725,1922,63616,1873,3931
430,1407,47399,18656,619483,1172,2478
431,30206,1008828,11993,400329,2082,4454
432,20593,685695,1190,39563,1189,2522
433,664,22525,28030,935705,1484,3228
434,4467,148114,17451,588526,12312,67926
435,1471,51184,274,9361,256,541
436,13501,444882,14248,469157,3399,10344
437,9662,319570,4492,150400,4640,16750
438,3036,102713,2401,79992,13236,81218
439,1145,37847,518,17592,817,1876
440,14836,496796,4348,146627,4107,14746
441,221,7691,707,22948,889,2030
442,19054,639202,641,21095,527,1266
443,16542,547899,5964,195175,9094,54866
444,14868,497209,1648,55093,15190,84255
445,1792,60912,9099,301880,9143,46929
446,1580,52993,948,32260,915,1990
447,365,12175,1149,37734,10768,63041
448,1275,41966,201,6419,285,590
449,17704,586035,28004,933949,12361,65562
450,4113,136103,4659,153876,6302,29915
451,1176,39206,135,4635,193,386
452,859,28929,697,22620,10921,57497
453,409,13025,435,14492,188,366
454,30612,1009998,8696,288687,1471,3216
455,10489,343701,1159,38733,10421,59604
456,2008,66813,115,3988,22,43
457,10981,368776,698,23325,897,1991
458,308,9338,566,18800,647,1483
459,652,21490,29102,972354,1421,3219
460,6703,222948,17208,575808,1341,2936
461,2505,82949,3265,109445,3535,11893
462,440,14938,583,18831,911,1908
463,352,11555,10342,346241,833,1793
464,1368,44963,265,8340,415,974
465,1565,53541,846,28360,623,1469
466,18840,622569,209,7363,444,975
467,3086,103062,8741,297509,2433,5481
468,275,9298,1475,49871,12837,70672
469,1585,53315,389,12401,377,837
470,931,30791,8,190,244,510
471,2773,92175,2017,67657,27107,186645
472,641,21000,10454,347446,659,1531
473,9500,315111,4564,149016,1734,3621
474,19382,645604,888,29615,19696,135552
475,1887,64270,1487,50083,9339,51851
476,4174,139747,26085,875635,9767,53906
477,988,33001,266,8375,454,1036
478,9404,312060,1904,63093,20513,127148
479,529,17826,945,31966,10539,62689
480,594,19898,10566,347430,1058,2294
481,2194,74504,1217,39900,10578,62130
482,817,26502,3996,135183,40253,351298
483,2019,67513,436,14432,49,88
484,284,9770,395,13081,325,729
485,6848,227729,15250,513317,4771,17118
486,466,15522,952,31472,745,1680
487,13232,440529,5378,178376,6139,28553
488,661,23088,380,12350,241,504
489,23853,794163,1435,48087,4408,15883
490,10454,349001,657,21340,785,1783
491,13918,460109,6839,226314,1875,3950
492,2234,75563,612,20768,861,1890
493,9206,308057,7858,261045,2414,5228
494,10662,354239,10844,362878,10705,56481
495,4886,162253,30396,1009448,2585,6024
496,1642,54299,406,13858,228,474
497,10324,340211,696,22318,10897,55004
498,128,4375,9208,307379,17798,121338
499,7859,260902,11376,376495,2591,6051
500,10283,342297,1136,38502,676,1640
501,12164,403438,4300,145512,9333,55083
502,28503,949064,965,32318,10079,58632
503,482,15749,7,160,162,322
504,377,12716,278,9292,66,147
505,448,14921,20014,665634,10507,58579
506,12377,413602,1848,62399,1331,2911
507,2032,68495,9322,314165,12637,73910
508,10676,350974,544,18249,1169,2551
509,17127,571076,6686,222743,25594,182091
510,26249,875587,9598,319558,9687,50794
511,10296,340995,8557,285608,13055,78078
512,18458,620360,374,12140,256,566
513,4708,156900,1620,53450,6397,27345
514,1207,39451,1040,34762,758,1717
515,1221,40777,10335,348625,10693,57742
516,1807,60291,409,13742,82,156
517,6771,227728,1746,58370,1281,2881
518,3288,107735,6179,204663,3768,12543
519,10420,345126,1007,32880,1093,2322
520,10273,344469,701,23487,627,1421
521,6766,223178,4156,138308,6550,29283
522,1256,42026,4269,142525,1395,3011
523,3139,105355,7928,266345,8238,39206
524,1737,56732,894,28993,10091,53949
525,2268,74653,702,23249,632,1448
526,9259,305183,1500,51155,1727,3674
527,943,31798,1616,53627,1422,3107
528,1121,37498,157,5178,449,964
529,609,20198,25,782,245,516
530,544,17353,427,14867,427,1014
531,1641,55182,10978,363298,814,1824
532,6045,202717,16737,556310,3280,9464
533,4064,134509,30977,1024789,4538,17415
534,1392,47321,1161,38317,10902,60087
535,21573,723758,3804,126003,20025,138103
536,6594,221912,17470,588092,4620,16503
537,1212,40684,1138,37501,1174,2643
538,9936,335961,6930,230848,7118,36475
539,1233,40463,6292,209419,14628,86711
540,2392,79053,8842,287922,11662,62479
541,9733,320533,4702,156077,27580,236795
542,7167,236162,2592,85975,3741,11827
543,1046,34601,351,11166,68,147
544,111,3605,6513,214174,4510,15940
545,49243,1634245,489,15913,487,1192
546,227,7326,931,30514,846,1796
547,1310,44000,1896,62466,1454,3187
548,11692,389145,8216,270965,5183,19398
549,210,7205,653,21294,10662,52259
550,2436,81380,11119,368316,13045,70578
551,23349,778001,2231,75434,14035,84390
552,629,21180,637,21378,841,1779
553,2286,76181,1145,38078,538,1267
554,9050,301487,2084,70135,33696,302209
555,1203,40740,93,3349,443,985
556,1126,37682,18174,606108,5376,21629
557,2373,79439,866,28591,10243,58157
558,9116,308611,12345,416239,4523,15887
559,1191,39128,416,13807,469,1162
560,7805,259702,3260,107862,2924,7753
561,13080,433145,3824,126589,4804,17287
562,2933,98303,5355,177546,5436,22581
563,2250,75379,1152,38677,567,1362
564,16325,549216,10113,339664,3122,8600
565,4111,137124,13929,468499,1929,4147
566,11023,363669,1055,34644,949,2095
567,523,17953,1133,38293,20565,133105
568,1106,36917,46597,1565944,10725,57590
569,6558,219320,12872,426180,1728,3756
570,411,13776,1846,61521,9230,52433
571,621,20063,408,13507,237,489
572,24890,832148,26766,888967,6959,33537
573,5864,194632,10961,364913,17714,136016
574,35349,1185120,8429,285476,11707,67779
575,1706,56604,629,20807,1168,2485
576,11128,371235,11222,374010,1108,2349
577,676,22572,203,6751,390,822
578,1176,38507,187,6472,204,441
579,4205,138882,1646,54358,4264,14604
580,9118,301081,1941,65636,17341,107497
581,2912,97618,5122,172576,8109,38601
582,38640,1304129,19833,668882,1075,2289
583,8171,269504,3706,122980,5150,21038
584,2725,90657,5592,184818,2739,6779
585,116,3689,10497,349852,894,1961
586,4124,136974,22973,763112,3974,13600
587,19732,654046,855,27251,10873,63065
588,16136,536832,15745,524480,7266,32798
589,38,1188,3258,109912,13567,93116
590,4132,138088,1739,57674,1292,2876
