,rule1 count,rule1 motions,rule2 count,rule2 motions,rule3 count,rule3 motions
756,6538,216978,20817,697656,12771,75338
757,1010,33599,4543,151857,6713,30934
758,26,805,941,31259,19790,120083
759,1399,46875,4656,155350,17081,111163
760,9476,315632,1459,48395,1408,3117
761,2125,71001,278,9289,369,776
762,10818,365007,561,18250,19583,155145
763,6607,220752,11733,388420,13764,90098
764,1796,58897,4642,153591,1487,3249
765,1507,49836,1085,35285,550,1308
766,2303,76349,10640,354986,10688,59897
767,2470,81470,11,384,70,131
768,5608,184187,11215,372828,3828,13337
769,264,8291,928,30843,57894,582499
770,4567,152969,1241,40997,14416,82683
771,1448,48031,187,6128,189,389
772,9784,324496,4452,148143,13201,69290
773,1351,44885,1214,42190,514,1269
774,40110,1334581,4705,157037,1870,4098
775,118,4175,146,5035,221,450
776,448,14896,2252,75978,2230,4832
777,697,23006,1078,36231,638,1537
778,854,28584,29370,971502,10476,55200
779,2073,69533,18300,609523,422,933
780,19546,655560,931,31242,1047,2285
781,14032,469133,2833,94320,2609,6334
782,508,17208,383,12696,18515,146750
783,1984,65767,734,24171,611,1405
784,1528,50927,6447,213850,4026,14482
785,273,9748,992,33121,10489,61187
786,1271,42436,867,29242,847,1871
787,37585,1256951,10396,343953,10469,59768
788,2334,78437,372,12305,398,879
789,2298,76773,6562,220715,1439,3139
790,435,14129,802,26425,1076,2377
791,1096,36912,1048,35330,772,1710
792,2336,78183,310,10638,18404,122224
793,5070,167994,16602,554077,13872,95506
794,1450,48042,218,7135,132,287
795,1276,43614,822,27501,10231,56394
796,2495,83554,515,17363,697,1682
797,1177,40015,1189,39132,706,1608
798,10414,344020,1117,37260,648,1466
799,1625,53855,10442,349261,974,2131
800,614,20366,30494,1011607,578,1417
801,1452,48814,239,7836,19079,142314
802,409,13085,189,6247,306,715
803,1761,59063,10121,334452,657,1463
804,998,32802,364,12085,246,529
805,12722,424003,1495,49488,4101,15654
806,1456,47623,265,8821,169,327
807,2060,69035,31,784,35641,310740
808,1896,62532,475,15804,330,709
809,2977,100379,11966,397742,15958,98329
810,638,21321,173,5989,119,243
811,5150,173020,3297,108938,2669,6287
812,1059,35823,71,2225,349,781
813,1466,49486,941,32021,769,1741
814,3385,113126,3743,124202,4862,17828
815,36363,1205548,23,701,86,162
816,709,23798,396,13170,120,226
817,1981,66418,6490,217646,1598,3422
818,5977,198763,3932,131836,7667,41586
819,1068,35706,9267,311905,20852,126114
820,2280,76213,892,29855,699,1677
821,457,14769,842,28013,677,1486
822,10074,338243,544,17918,920,1958
823,20723,689771,11587,386624,578,1431
824,4563,151134,21195,703996,4560,16114
825,5020,167626,7197,241427,3907,13942
826,6821,227859,1486,48605,9719,50525
827,10291,344648,1220,41675,608,1472
828,1797,59079,7,207,369,815
829,589,19582,1262,41980,10146,55794
830,12379,416884,4435,150339,1466,3260
831,10220,342360,1198,39935,553,1355
832,9070,299772,1967,65830,1248,2820
833,31606,1051705,3997,132047,21256,145290
834,9460,315497,4746,159489,1440,3142
835,3760,124631,3928,129573,5278,21079
836,2125,70389,1546,52187,26210,174627
837,2467,82725,53,1703,259,570
838,4203,142755,1783,58308,1921,4075
839,1943,65025,699,23046,1071,2221
840,3073,102274,16013,527336,8934,45548
841,875,28989,9162,308646,20376,128948
842,245,8214,513,17611,971,2103
843,1541,51596,4167,136210,4296,15387
844,12738,423317,20936,696027,26071,189312
845,2059,68239,11163,371725,806,1798
846,447,14953,1034,34259,28103,203523
847,443,14145,15088,506323,1772,3820
848,19847,657202,1095,36954,942,2048
849,6875,228381,1905,63068,1262,2807
850,11052,366329,1198,41150,993,2100
851,6319,214156,2484,82550,2415,5406
852,10485,349315,810,27158,805,1767
853,15205,507906,4382,146875,15027,99201
