,date,price
286,1491243360,143.4552
287,1491243420,143.45
288,1491243480,143.38
289,1491243540,143.38
290,1491243600,143.42
291,1491243660,143.39
292,1491243720,143.4
293,1491243780,143.4
294,1491243840,143.4439
295,1491243900,143.47
296,1491243960,143.505
297,1491244020,143.48
298,1491244080,143.5134
299,1491244140,143.59
300,1491244200,143.6063
301,1491244260,143.6409
302,1491244320,143.61
303,1491244380,143.6308
304,1491244440,143.61
305,1491244500,143.6
306,1491244560,143.65
307,1491244620,143.62
308,1491244680,143.58
309,1491244740,143.6
310,1491244800,143.5786
311,1491244860,143.675
312,1491244920,143.72
313,1491244980,143.7142
314,1491245040,143.71
315,1491245100,143.725
316,1491245160,143.7
317,1491245220,143.67
318,1491245280,143.6847
319,1491245340,143.67
320,1491245400,143.6501
321,1491245460,143.69
322,1491245520,143.6772
323,1491245580,143.67
324,1491245640,143.69
325,1491245700,143.6721
326,1491245760,143.69
327,1491245820,143.69
328,1491245880,143.7
329,1491245940,143.6953
330,1491246000,143.6973
331,1491246060,143.77
332,1491246120,143.73
333,1491246180,143.769
334,1491246240,143.745
335,1491246300,143.7791
336,1491246360,143.67
337,1491246420,143.68
338,1491246480,143.6799
339,1491246540,143.69
340,1491246600,143.75
341,1491246660,143.77
342,1491246720,143.8147
343,1491246780,143.82
344,1491246840,143.81
345,1491246900,143.8045
346,1491246960,143.7945
347,1491247020,143.773
348,1491247080,143.7691
349,1491247140,143.8
350,1491247200,143.7743
351,1491247260,143.78
352,1491247320,143.79
353,1491247380,143.82
354,1491247440,143.81
355,1491247500,143.8699
356,1491247560,143.84
357,1491247620,143.856
358,1491247680,143.81
359,1491247740,143.8157
360,1491247800,143.8447
361,1491247860,143.79
362,1491247920,143.8
363,1491247980,143.81
364,1491248040,143.78
365,1491248100,143.81
366,1491248160,143.7947
367,1491248220,143.82
368,1491248280,143.8361
369,1491248340,143.82
370,1491248400,143.8
371,1491248460,143.85
372,1491248520,143.79
373,1491248580,143.76
374,1491248640,143.75
375,1491248700,143.8
376,1491248760,143.785
377,1491248820,143.77
378,1491248880,143.8
379,1491248940,143.79
380,1491249000,143.77
381,1491249060,143.76
382,1491249120,143.7
383,1491249180,143.72
384,1491249240,143.7499
385,1491249300,143.78
386,1491249360,143.74
387,1491249420,143.7754
388,1491249480,143.75
389,1491249540,143.775
390,1491249600,143.7
391,1491312600,143.27
392,1491312660,143.2763
393,1491312720,143.53
394,1491312780,143.4
395,1491312840,143.42
396,1491312900,143.3999
397,1491312960,143.56
398,1491313020,143.53
399,1491313080,143.515
400,1491313140,143.5738
401,1491313200,143.62
402,1491313260,143.75
403,1491313320,143.7812
404,1491313380,143.91
405,1491313440,143.86
406,1491313500,143.7614
407,1491313560,143.86
408,1491313620,143.8512
409,1491313680,143.8701
410,1491313740,143.78
411,1491313800,143.76
412,1491313860,143.75
413,1491313920,143.74
414,1491313980,143.72
415,1491314040,143.69
416,1491314100,143.63
417,1491314160,143.6
418,1491314220,143.6616
419,1491314280,143.68
420,1491314340,143.66
421,1491314400,143.66
422,1491314460,143.75
423,1491314520,143.5911
424,1491314580,143.58
425,1491314640,143.51
426,1491314700,143.55
427,1491314760,143.64
428,1491314820,143.65
429,1491314880,143.62
430,1491314940,143.55
431,1491315000,143.609
432,1491315060,143.58
433,1491315120,143.63
434,1491315180,143.645
435,1491315240,143.642
436,1491315300,143.7
437,1491315360,143.7299
438,1491315420,143.81
439,1491315480,143.82
440,1491315540,143.86
441,1491315600,143.775
442,1491315660,143.7768
443,1491315720,143.76
444,1491315780,143.85
445,1491315840,143.81
446,1491315900,143.805
447,1491315960,143.9
448,1491316020,143.9301
449,1491316080,143.9225
450,1491316140,143.92
451,1491316200,144.0799
452,1491316260,144.14
453,1491316320,144.17
454,1491316380,144.105
455,1491316440,144.0699
456,1491316500,144.0501
457,1491316560,144.1
458,1491316620,144.1
459,1491316680,144.135
460,1491316740,144.205
461,1491316800,144.18
462,1491316860,144.18
463,1491316920,144.155
464,1491316980,144.2
465,1491317040,144.1825
466,1491317100,144.13
467,1491317160,144.0949
468,1491317220,144.1587
469,1491317280,144.12
470,1491317340,144.135
471,1491317400,144.0516
472,1491317460,144.11
473,1491317520,144.0397
474,1491317580,144.0262
475,1491317640,144.01
476,1491317700,143.93
477,1491317760,143.96
478,1491317820,143.99
479,1491317880,144.0407
480,1491317940,144.0752
481,1491318000,144.03
482,1491318060,144.07
483,1491318120,144.04
484,1491318180,144.08
485,1491318240,144.1058
486,1491318300,144.2
487,1491318360,144.19
488,1491318420,144.19
489,1491318480,144.1817
490,1491318540,144.18
491,1491318600,144.31
492,1491318660,144.26
493,1491318720,144.2907
494,1491318780,144.29
495,1491318840,144.32
496,1491318900,144.27
497,1491318960,144.33
498,1491319020,144.37
499,1491319080,144.37
500,1491319140,144.385
501,1491319200,144.41
502,1491319260,144.4
503,1491319320,144.43
504,1491319380,144.43
505,1491319440,144.42
506,1491319500,144.45
507,1491319560,144.46
508,1491319620,144.4
509,1491319680,144.42
510,1491319740,144.39
511,1491319800,144.32
512,1491319860,144.32
513,1491319920,144.26
514,1491319980,144.3056
515,1491320040,144.25
516,1491320100,144.34
517,1491320160,144.4271
518,1491320220,144.4
519,1491320280,144.47
520,1491320340,144.4399
521,1491320400,144.39
522,1491320460,144.45
523,1491320520,144.4499
524,1491320580,144.439
525,1491320640,144.4299
526,1491320700,144.3899
527,1491320760,144.41
528,1491320820,144.39
529,1491320880,144.43
530,1491320940,144.46
531,1491321000,144.43
532,1491321060,144.412
533,1491321120,144.418
534,1491321180,144.33
535,1491321240,144.33
536,1491321300,144.33
537,1491321360,144.2801
538,1491321420,144.35
539,1491321480,144.38
540,1491321540,144.35
541,1491321600,144.27
542,1491321660,144.21
543,1491321720,144.19
544,1491321780,144.21
545,1491321840,144.18
546,1491321900,144.18
547,1491321960,144.2093
548,1491322020,144.26
549,1491322080,144.2101
550,1491322140,144.2743
551,1491322200,144.25
552,1491322260,144.28
553,1491322320,144.2801
554,1491322380,144.345
555,1491322440,144.37
556,1491322500,144.37
557,1491322560,144.42
558,1491322620,144.3601
559,1491322680,144.3751
560,1491322740,144.3851
561,1491322800,144.37
562,1491322860,144.3449
563,1491322920,144.3111
564,1491322980,144.28
565,1491323040,144.2656
566,1491323100,144.267
567,1491323160,144.25
568,1491323220,144.27
569,1491323280,144.33
570,1491323340,144.31
571,1491323400,144.3149
572,1491323460,144.29
573,1491323520,144.28
574,1491323580,144.21
575,1491323640,144.24
576,1491323700,144.2549
577,1491323760,144.25
578,1491323820,144.27
579,1491323880,144.225
580,1491323940,144.2571
581,1491324000,144.27
582,1491324060,144.265
583,1491324120,144.3
584,1491324180,144.2867
585,1491324240,144.28
586,1491324300,144.275
587,1491324360,144.29
588,1491324420,144.25
589,1491324480,144.15
590,1491324540,144.19
591,1491324600,144.19
592,1491324660,144.19
593,1491324720,144.18
594,1491324780,144.16
595,1491324840,144.0944
596,1491324900,144.06
597,1491324960,144.11
598,1491325020,144.1588
599,1491325080,144.125
600,1491325140,144.17
601,1491325200,144.14
602,1491325260,144.06
603,1491325320,144.06
604,1491325380,144.0648
605,1491325440,144.05
606,1491325500,144.079
607,1491325560,144.05
608,1491325620,144.04
609,1491325680,144.07
610,1491325740,144.04
611,1491325800,144.07
612,1491325860,144.09
613,1491325920,144.15
614,1491325980,144.17
615,1491326040,144.2241
616,1491326100,144.26
617,1491326160,144.28
618,1491326220,144.2627
619,1491326280,144.33
620,1491326340,144.33
621,1491326400,144.281
622,1491326460,144.27
623,1491326520,144.285
624,1491326580,144.27
625,1491326640,144.25
626,1491326700,144.2975
627,1491326760,144.315
628,1491326820,144.2752
629,1491326880,144.26
630,1491326940,144.23
631,1491327000,144.235
632,1491327060,144.27
633,1491327120,144.26
634,1491327180,144.261
635,1491327240,144.28
636,1491327300,144.29
637,1491327360,144.32
638,1491327420,144.3178
639,1491327480,144.31
640,1491327540,144.34
641,1491327600,144.349
642,1491327660,144.37
643,1491327720,144.3757
644,1491327780,144.36
645,1491327840,144.34
646,1491327900,144.35
647,1491327960,144.31
648,1491328020,144.33
649,1491328080,144.325
650,1491328140,144.29
651,1491328200,144.2734
652,1491328260,144.3
653,1491328320,144.27
654,1491328380,144.29
655,1491328440,144.2754
656,1491328500,144.31
657,1491328560,144.3267
658,1491328620,144.315
659,1491328680,144.295
660,1491328740,144.3148
661,1491328800,144.38
662,1491328860,144.435
663,1491328920,144.3955
664,1491328980,144.45
665,1491329040,144.47
666,1491329100,144.4622
667,1491329160,144.54
668,1491329220,144.51
669,1491329280,144.55
670,1491329340,144.52
671,1491329400,144.53
672,1491329460,144.5352
673,1491329520,144.565
674,1491329580,144.545
675,1491329640,144.5057
676,1491329700,144.5
677,1491329760,144.51
678,1491329820,144.53
679,1491329880,144.56
680,1491329940,144.59
681,1491330000,144.5934
682,1491330060,144.62
683,1491330120,144.61
684,1491330180,144.67
685,1491330240,144.7
686,1491330300,144.72
687,1491330360,144.74
688,1491330420,144.81
689,1491330480,144.81
690,1491330540,144.77
691,1491330600,144.7
692,1491330660,144.7156
693,1491330720,144.75
694,1491330780,144.82
695,1491330840,144.87
696,1491330900,144.85
697,1491330960,144.81
698,1491331020,144.725
699,1491331080,144.76
700,1491331140,144.785
701,1491331200,144.81
702,1491331260,144.8
703,1491331320,144.77
704,1491331380,144.779
705,1491331440,144.7999
706,1491331500,144.786
707,1491331560,144.7343
708,1491331620,144.6767
709,1491331680,144.69
710,1491331740,144.7199
711,1491331800,144.71
712,1491331860,144.715
713,1491331920,144.73
714,1491331980,144.76
715,1491332040,144.73
716,1491332100,144.73
717,1491332160,144.705
718,1491332220,144.67
719,1491332280,144.675
720,1491332340,144.68
721,1491332400,144.6
722,1491332460,144.59
723,1491332520,144.63
724,1491332580,144.65
725,1491332640,144.64
726,1491332700,144.68
727,1491332760,144.635
728,1491332820,144.65
729,1491332880,144.607
730,1491332940,144.595
731,1491333000,144.545
732,1491333060,144.6
733,1491333120,144.615
734,1491333180,144.58
735,1491333240,144.5854
736,1491333300,144.59
737,1491333360,144.55
738,1491333420,144.535
739,1491333480,144.62
740,1491333540,144.6025
741,1491333600,144.63
742,1491333660,144.65
743,1491333720,144.59
744,1491333780,144.58
745,1491333840,144.64
746,1491333900,144.645
747,1491333960,144.64
748,1491334020,144.675
749,1491334080,144.66
750,1491334140,144.675
751,1491334200,144.63
752,1491334260,144.685
753,1491334320,144.72
754,1491334380,144.75
755,1491334440,144.745
756,1491334500,144.69
757,1491334560,144.74
758,1491334620,144.76
759,1491334680,144.78
760,1491334740,144.7548
761,1491334800,144.775
762,1491334860,144.74
763,1491334920,144.77
764,1491334980,144.789
765,1491335040,144.8247
766,1491335100,144.85
767,1491335160,144.85
768,1491335220,144.85
769,1491335280,144.85
770,1491335340,144.86
771,1491335400,144.85
772,1491335460,144.84
773,1491335520,144.8
774,1491335580,144.8
775,1491335640,144.82
776,1491335700,144.8
777,1491335760,144.84
778,1491335820,144.775
779,1491335880,144.74
780,1491335940,144.76
781,1491336000,144.77
782,1491399000,144.63
783,1491399060,144.6139
784,1491399120,144.56799999999998
785,1491399180,144.73
786,1491399240,144.5436
787,1491399300,144.375
788,1491399360,144.53
789,1491399420,144.53
790,1491399480,144.6355
791,1491399540,144.63
792,1491399600,144.55
793,1491399660,144.64
794,1491399720,144.72
795,1491399780,144.8714
796,1491399840,144.95
797,1491399900,144.9
798,1491399960,144.95
799,1491400020,144.95
800,1491400080,145.02
801,1491400140,145.04
802,1491400200,145.12
803,1491400260,144.99
804,1491400320,144.92
805,1491400380,145.0
806,1491400440,144.9206
807,1491400500,144.85
808,1491400560,144.7116
809,1491400620,144.8065
810,1491400680,144.8
811,1491400740,144.705
812,1491400800,144.7725
813,1491400860,144.61
814,1491400920,144.61
815,1491400980,144.7
816,1491401040,144.68
817,1491401100,144.72
818,1491401160,144.81
819,1491401220,144.78
820,1491401280,144.7
821,1491401340,144.75
822,1491401400,144.84
823,1491401460,144.8401
824,1491401520,144.86
825,1491401580,144.83
826,1491401640,144.78
827,1491401700,144.7886
828,1491401760,144.88
829,1491401820,144.94
830,1491401880,144.9299
831,1491401940,144.8835
832,1491402000,144.92
833,1491402060,144.9
834,1491402120,144.87
835,1491402180,144.87
836,1491402240,144.84
837,1491402300,144.81
838,1491402360,144.83
839,1491402420,144.9
840,1491402480,144.96
841,1491402540,144.96
842,1491402600,145.0
843,1491402660,145.086
844,1491402720,145.08
845,1491402780,145.07
846,1491402840,145.0
847,1491402900,144.9704
848,1491402960,145.06
849,1491403020,145.0725
850,1491403080,145.04
851,1491403140,145.04
852,1491403200,145.04
853,1491403260,145.12
854,1491403320,145.105
855,1491403380,145.12
856,1491403440,145.2243
857,1491403500,145.235
858,1491403560,145.28
859,1491403620,145.3
860,1491403680,145.35
861,1491403740,145.36
862,1491403800,145.36
863,1491403860,145.34
864,1491403920,145.3505
865,1491403980,145.2583
866,1491404040,145.32
867,1491404100,145.33
868,1491404160,145.28
869,1491404220,145.28
870,1491404280,145.22
871,1491404340,145.236
872,1491404400,145.28
873,1491404460,145.38
874,1491404520,145.37
875,1491404580,145.36
876,1491404640,145.31
877,1491404700,145.31
878,1491404760,145.2301
879,1491404820,145.12
880,1491404880,145.18
881,1491404940,145.21
882,1491405000,145.17
883,1491405060,145.1
884,1491405120,145.18
885,1491405180,145.18
886,1491405240,145.16
887,1491405300,145.08
888,1491405360,145.085
889,1491405420,145.1167
890,1491405480,145.1192
891,1491405540,145.1
892,1491405600,145.1359
893,1491405660,145.07
894,1491405720,145.11
895,1491405780,145.07
896,1491405840,145.09
897,1491405900,145.01
898,1491405960,144.98
899,1491406020,144.96
900,1491406080,144.97
901,1491406140,144.97
902,1491406200,144.89
903,1491406260,144.857
904,1491406320,144.8641
905,1491406380,144.96
906,1491406440,145.0408
907,1491406500,145.08
908,1491406560,145.14
909,1491406620,145.16
910,1491406680,145.1808
911,1491406740,145.205
912,1491406800,145.23
913,1491406860,145.319
914,1491406920,145.23
915,1491406980,145.24
916,1491407040,145.26
917,1491407100,145.285
918,1491407160,145.29
919,1491407220,145.2243
920,1491407280,145.19
921,1491407340,145.22
922,1491407400,145.2044
923,1491407460,145.16
924,1491407520,145.19
925,1491407580,145.19
926,1491407640,145.18
927,1491407700,145.178
928,1491407760,145.23
929,1491407820,145.225
930,1491407880,145.26
931,1491407940,145.18
932,1491408000,145.2
933,1491408060,145.24
934,1491408120,145.21
935,1491408180,145.19
936,1491408240,145.2
937,1491408300,145.22
938,1491408360,145.23
939,1491408420,145.245
940,1491408480,145.2644
941,1491408540,145.2342
942,1491408600,145.2
943,1491408660,145.2
944,1491408720,145.25
945,1491408780,145.23
946,1491408840,145.24
947,1491408900,145.26
948,1491408960,145.2559
949,1491409020,145.2701
950,1491409080,145.31
951,1491409140,145.3457
952,1491409200,145.39
953,1491409260,145.3559
954,1491409320,145.404
955,1491409380,145.42
956,1491409440,145.4065
957,1491409500,145.424
958,1491409560,145.36
959,1491409620,145.275
960,1491409680,145.1701
961,1491409740,145.19
962,1491409800,145.2
963,1491409860,145.14
964,1491409920,145.15
965,1491409980,145.1701
966,1491410040,145.17
967,1491410100,145.175
968,1491410160,145.215
969,1491410220,145.2341
970,1491410280,145.285
971,1491410340,145.2671
972,1491410400,145.32
973,1491410460,145.28
974,1491410520,145.295
975,1491410580,145.2799
976,1491410640,145.29
977,1491410700,145.3047
978,1491410760,145.34
979,1491410820,145.35
980,1491410880,145.35
981,1491410940,145.35
982,1491411000,145.37
983,1491411060,145.42
984,1491411120,145.3953
985,1491411180,145.4248
986,1491411240,145.36
987,1491411300,145.3533
988,1491411360,145.36
989,1491411420,145.32
990,1491411480,145.315
991,1491411540,145.3353
992,1491411600,145.3447
993,1491411660,145.36
994,1491411720,145.3542
995,1491411780,145.3439
996,1491411840,145.3553
997,1491411900,145.41
998,1491411960,145.44
999,1491412020,145.37
1000,1491412080,145.32
1001,1491412140,145.3163
1002,1491412200,145.3457
1003,1491412260,145.3166
1004,1491412320,145.3243
1005,1491412380,145.32
1006,1491412440,145.3199
1007,1491412500,145.3053
1008,1491412560,145.33
1009,1491412620,145.37
1010,1491412680,145.345
1011,1491412740,145.34
1012,1491412800,145.3
1013,1491412860,145.31
